grailed_id,name,category,tags,brands,color,season,model,images,notes
74043560,BBS Dirty Denim - P13DTF FKU10002,pants,,boris saberi,dirty denim,fw21,,https://media-assets.grailed.com/prd/listing/temp/d7fc662c5961451080ad118165bb2e90,
 ,Button Leg Loose Pants - black/brown,pants,,aleksandr manamis,black brown,ss25,,"https://loom-osaka.com/cdn/shop/files/3O0A5575_db75d371-09ab-4d58-8473-e2bcb72af1ba_1024x1024@2x.jpg?v=1743175025, https://loom-osaka.com/cdn/shop/files/H_4f136719-50ae-425d-b077-4cb5800a51d4_1024x1024@2x.jpg?v=1743175025",
 ,hook pants - white,pants,,yuta matsuoka,white,fw24,,https://coelacanth.co.jp/cdn/shop/files/7F0341B2-C33E-456E-B9A8-109450092198.jpg?v=1731919732,
 ,hook pants - dobby stripe,pants,,yuta matsuoka,camel,ss25,,https://coelacanth.co.jp/cdn/shop/files/20250331-DSC_0063.jpg?v=1743419342,
 ,tuck slim baggy pants,pants,,af artefact,light blue,ss25,,https://loom-osaka.com/cdn/shop/files/3O0A5419_d1505d1f-63ec-48c4-a6d9-6b58f62207f7_1024x1024@2x.jpg?v=1743678201,
76520763,reverse double zip boots,shoes,,a1923,black,,,https://media-assets.grailed.com/prd/listing/temp/1887909bae7a46e29f8336dad0f7145f?w=1500,
74504212,zipped tall collar shirt,knitwear,,ma+,military green,fw19,,https://media-assets.grailed.com/prd/listing/temp/d78146373918413aa0e3d08af5d24df4?w=1500,
 ,hook pants - navy,bottoms,,yuta matsuoka,navy blue,fw24,24a14tptn-op,"https://baseec-img-mng.akamaized.net/images/item/origin/b6eefb5ef88169077e262fe49a0abb38.jpg?imformat=generic&q=90&im=Resize,width=1280,type=normal",
,cargo tuck baggy pants,,,af artefact,light blue,ss25,ag-11018-3-blue-1,https://loom-osaka.com/cdn/shop/files/3O0A5274_88b68d5d-5f37-4867-b67c-4be2f499eb9c_1024x1024@2x.jpg?v=1743582574,
,hook pants - dark brown,pants,,yuta matsuoka,dark brown,fw24,,"https://coelacanth.co.jp/cdn/shop/files/E8CDA16A-A7CB-40A1-B6FA-4F684B418789.jpg?v=1731916587, https://coelacanth.co.jp/cdn/shop/files/3C2BB69F-E0B3-46CA-A7A9-4091EA670528.jpg?v=1731916544",
,hook pants - reddish brown,pants,,yuta matsuoka,reddish brown,ss25,,"https://coelacanth.co.jp/cdn/shop/files/20250331-DSC_0072.jpg?v=1743419904&width=1512, https://coelacanth.co.jp/cdn/shop/files/20250331-DSC_0070.jpg?v=1743419904&width=1512",
,ankle boots,shoes,,evarist betran,black,,,https://ik.imagekit.io/notme001/evarist-b-ankle-boots-1.jpg?updatedAt=1744251701755,
,baggy 5 pocket pants - off white,pants,,forme d'expression,off-white,ss25,up035,"https://shop.180thestore.com/cdn/shop/files/Forme_013_Front_95766353-1273-45ba-8b1d-0d47c56c628a_1024x1024.jpg?v=1742571471, https://shop.180thestore.com/cdn/shop/files/Forme_013_Detail_1_acaa63ac-5bd3-4720-9319-6ac6398e1ea9_1024x1024.jpg?v=1742571471",
